anatomy_id	item	itemLabel	altLabel	itemDesc
UBERON:0000007	Q156871	pituitary gland	hypophysis	endocrine gland
UBERON:0000057	Q9386	urethra		NA
UBERON:0000059	Q11083	large intestine		NA
UBERON:0000399	Q30015772	jejunal mucosa		NA
UBERON:0001154	Q9656	vermiform appendix	appendix|caecal appendix|cecal appendix|vermix	blind-ended tube connected to the cecum, from which it develops embryologically
UBERON:0001162	Q30015774	cardia of stomach		NA
UBERON:0001385	Q975054	Tibialis anterior muscle		NA
UBERON:0001388	Q943203	gastrocnemius muscle		NA
UBERON:0001831	Q691653	parotid gland		NA
UBERON:0001976	Q30015775	epithelium of esophagus		NA
UBERON:0002021	Q848340	occipital lobe		NA
UBERON:0002082	Q30015780	cardiac ventricle		NA
UBERON:0002113	Q9377	kidney		NA
UBERON:0002127	Q5620438	Inferior olivary nucleus		NA
UBERON:0002190	Q30015788	subcutaneous adipose tissue		NA
UBERON:0002384	Q25615	connective tissue		NA
UBERON:0004358	Q30015791	caput epididymis		NA
UBERON:0004359	Q30015794	corpus epididymis		NA
UBERON:0004720	Q3078809	Cerebellar vermis		NA
UBERON:0007318	Q30015816	saphenous vein		NA
