homolog_id	homolog_ncbigene_id
FlyBase:FBgn0015872	NCBIGene:36236
FlyBase:FBgn0033635	NCBIGene:36237
FlyBase:FBgn0034882	NCBIGene:37736
FlyBase:FBgn0034884	NCBIGene:37738
MGI:103201	NCBIGene:11826
NCBIGene:100069916	NCBIGene:100069916
NCBIGene:100567659	NCBIGene:100567659
NCBIGene:106997467	NCBIGene:106997467
NCBIGene:25240	NCBIGene:25240
NCBIGene:282653	NCBIGene:282653
NCBIGene:343	NCBIGene:343
NCBIGene:359	NCBIGene:359
NCBIGene:361	NCBIGene:361
NCBIGene:362	NCBIGene:362
NCBIGene:363	NCBIGene:363
NCBIGene:403732	NCBIGene:403732
NCBIGene:420384	NCBIGene:420384
NCBIGene:4284	NCBIGene:4284
NCBIGene:463330	NCBIGene:463330
NCBIGene:559284	NCBIGene:559284
NCBIGene:816186	NCBIGene:816186
NCBIGene:817123	NCBIGene:817123
NCBIGene:818255	NCBIGene:818255
NCBIGene:818293	NCBIGene:818293
NCBIGene:818294	NCBIGene:818294
NCBIGene:818487	NCBIGene:818487
NCBIGene:819204	NCBIGene:819204
NCBIGene:819564	NCBIGene:819564
NCBIGene:820870	NCBIGene:820870
NCBIGene:822259	NCBIGene:822259
NCBIGene:823898	NCBIGene:823898
NCBIGene:824510	NCBIGene:824510
NCBIGene:824647	NCBIGene:824647
NCBIGene:824862	NCBIGene:824862
NCBIGene:825316	NCBIGene:825316
NCBIGene:827446	NCBIGene:827446
NCBIGene:827956	NCBIGene:827956
NCBIGene:828051	NCBIGene:828051
NCBIGene:828439	NCBIGene:828439
NCBIGene:829662	NCBIGene:829662
NCBIGene:831947	NCBIGene:831947
NCBIGene:834794	NCBIGene:834794
NCBIGene:836187	NCBIGene:836187
NCBIGene:838359	NCBIGene:838359
NCBIGene:839235	NCBIGene:839235
NCBIGene:841648	NCBIGene:841648
NCBIGene:843653	NCBIGene:843653
ZFIN:ZDB-GENE-030131-7764	NCBIGene:335821
ZFIN:ZDB-GENE-100408-2	ZFIN:ZDB-GENE-100408-2
