gene_id	item	itemLabel	altLabel	itemDesc
NCBIGene:100996717	Q20764587	LOC100996717	LOC100996717|notch homolog 2 N-terminal-like protein	protein-coding gene in the species Homo sapiens
NCBIGene:10188	Q18035104	TNK2	ACK|ACK-1|ACK1|p21cdc42Hs|TNK2|tyrosine kinase non receptor 2	protein-coding gene in the species Homo sapiens
NCBIGene:102466755	Q18080704	MIR6875	hsa-mir-6875|microRNA 6875|MIR6875	non-coding RNA in the species Homo sapiens
NCBIGene:10253	Q18035166	SPRY2	SPRY2|hSPRY2|IGAN3|sprouty RTK signaling antagonist 2	protein-coding gene in the species Homo sapiens
NCBIGene:10488	Q18035427	CREB3	CREB3|cAMP responsive element binding protein 3|LZIP|LUMAN|sLZIP	protein-coding gene in the species Homo sapiens
NCBIGene:11007	Q18036022	CCDC85B	DIPA|coiled-coil domain containing 85B|CCDC85B	protein-coding gene in the species Homo sapiens
NCBIGene:11043	Q18036053	MID2	MID2|FXY2|midline 2|MRX101|RNF60|TRIM1	protein-coding gene in the species Homo sapiens
NCBIGene:123722	Q18049541	FSD2	fibronectin type III and SPRY domain containing 2|FSD2|SPRYD1	protein-coding gene in the species Homo sapiens
NCBIGene:125115	Q18049619	KRT40	KRT40|CK-40|K40|KA36|keratin 40	gene of the species Homo sapiens
NCBIGene:158405	Q20776264	KIAA1958	KIAA1958	protein-coding gene in the species Homo sapiens
NCBIGene:22806	Q18036500	IKZF3	IKAROS family zinc finger 3|AIO|IKZF3|AIOLOS|ZNFN1A3	protein-coding gene in the species Homo sapiens
NCBIGene:22807	Q18036501	IKZF2	ZNF1A2|ZNFN1A2|ANF1A2|HELIOS|IKAROS family zinc finger 2|IKZF2	protein-coding gene in the species Homo sapiens
NCBIGene:23281	Q18037060	MTUS2	ICIS|MTUS2|CAZIP|KIAA0774|microtubule associated tumor suppressor candidate 2|TIP150|microtubule associated scaffold protein 2	protein-coding gene in the species Homo sapiens
NCBIGene:2353	Q14906123	FOS	AP-1|p55|FOS|Fos proto-oncogene, AP-1 transcription factor subunit|C-FOS	protein-coding gene in the species Homo sapiens
NCBIGene:26575	Q18038299	RGS17	hRGS17|regulator of G-protein signaling 17|RGS-17|RGS17|RGSZ2|regulator of G protein signaling 17	protein-coding gene in the species Homo sapiens
NCBIGene:284001	Q18054234	CCDC57	CCDC57|coiled-coil domain containing 57	protein-coding gene in the species Homo sapiens
NCBIGene:285622	Q18054562	NBPF22P	NBPF22P|NBPF member 22, pseudogene	pseudogene in the species Homo sapiens
NCBIGene:30008	Q18039764	EFEMP2	MBP1|ARCL1B|EFEMP2|EGF containing fibulin like extracellular matrix protein 2|FBLN4|UPH1	protein-coding gene in the species Homo sapiens
NCBIGene:339834	Q18055349	CCDC36	CCDC36|CT74|coiled-coil domain containing 36	protein-coding gene in the species Homo sapiens
