anatomy_id	item	itemLabel	altLabel	itemDesc
UBERON:0000998	Q217259	seminal vesicle		NA
UBERON:0001083				
UBERON:0001103	Q9654	thoracic diaphragm	diaphragm|diaphragm muscle|respiratory diaphragm	sheet of internal skeletal muscle
UBERON:0001377	Q504536	quadriceps femoris muscle		NA
UBERON:0001383				
UBERON:0001385	Q975054	Tibialis anterior muscle		NA
UBERON:0001562				
UBERON:0001777				
UBERON:0002062				
UBERON:0002114				
UBERON:0002228				
UBERON:0002370				
UBERON:0002478				
UBERON:0003107				
UBERON:0004134	Q2916078	proximal tubule		NA
UBERON:0006862				
UBERON:0007021				
UBERON:0008971				
UBERON:0010307				
