protein_id	item	itemLabel	altLabel	itemDesc
UniProt:Q9Y223	Q21106661	Glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	GNE|UDP-GlcNAc-2-epimerase/ManAc kinase|N-acylmannosamine kinase|bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase|UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase	mammalian protein found in Homo sapiens
UniProt:P51606	Q22677897	Renin binding protein	AGE|GlcNAc 2-epimerase|N-acetyl-D-glucosamine 2-epimerase|RENBP|Renin-binding protein|RnBP|N-acylglucosamine 2-epimerase	mammalian protein found in Homo sapiens
UniProt:O60909	Q21108255	Beta-1,4-galactosyltransferase 2	B4GALT2|beta-1,4-galactosyltransferase 2|UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 2|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 2|beta-1,4-GalTase 2|beta-4-GalT2|beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase 2|UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase 2|UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 2	mammalian protein found in Homo sapiens
UniProt:P15291	Q21112774	Beta-1,4-galactosyltransferase 1	B4GALT1|beta-1,4-galactosyltransferase 1|UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1|UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1|beta-1,4-GalTase 1|glycoprotein-4-beta-galactosyltransferase 2|lactose synthase	mammalian protein found in Homo sapiens
UniProt:P07686	Q5629497	Hexosaminidase subunit beta	HCC-7|HEXB|Hexosaminidase subunit B|N-acetyl-beta-glucosaminidase subunit beta|hexosaminidase B (beta polypeptide)|beta-hexosaminidase beta-subunit|beta-hexosaminidase subunit beta|cervical cancer proto-oncogene 7 protein|epididymis luminal protein 248|epididymis secretory protein Li 111|beta-N-acetylhexosaminidase subunit beta	mammalian protein found in Homo sapiens
UniProt:P06865	Q21120577	Hexosaminidase subunit alpha	HEXA|N-acetyl-beta-glucosaminidase subunit alpha|hexosaminidase A (alpha polypeptide)|beta-hexosaminidase subunit alpha|beta-N-acetylhexosaminidase subunit alpha|hexosaminidase subunit A	mammalian protein found in Homo sapiens
UniProt:Q9UJ70	Q21105246	N-acetylglucosamine kinase	N-acetyl-D-glucosamine kinase|NAGK|glcNAc kinase	mammalian protein found in Homo sapiens
UniProt:Q9BZP6	Q21100758	Chitinase, acidic	CHIA|acidic mammalian chitinase|lung-specific protein TSA1902	mammalian protein found in Homo sapiens
UniProt:Q9UK23	Q22678770	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	NAGPA|alpha-N-acetylglucosaminyl phosphodiesterase|lysosomal alpha-N-acetylglucosaminidase|mannose 6-phosphate-uncovering enzyme|phosphodiester alpha-GlcNAcase	mammalian protein found in Homo sapiens
UniProt:Q13231	Q21117216	Chitinase 1	Chitinase-1|CHIT1|chitinase 1 (chitotriosidase)|chitotriosidase-1|plasma methylumbelliferyl tetra-N-acetylchitotetraoside hydrolase	mammalian protein found in Homo sapiens
UniProt:O60512	Q21108250	Beta-1,4-galactosyltransferase 3	B4GALT3|beta-1,4-galactosyltransferase 3|UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3|UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3|b4Gal-T3|beta-1,4-GalTase 3|beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase 3	mammalian protein found in Homo sapiens
UniProt:O60513	Q21112769	Beta-1,4-galactosyltransferase 4	UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 4|UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 4|B4GALT4|beta-1,4-galactosyltransferase 4|UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4|beta-1,4-GalTase 4|beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase 4|UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase 4	mammalian protein found in Homo sapiens
UniProt:P54802	Q22678008	N-acetyl-alpha-glucosaminidase	NAG|NAGLU|N-acetyl-alpha-glucosaminidase|N-acetylglucosaminidase, alpha|alpha-N-acetylglucosaminidase|testicular tissue protein Li 18	mammalian protein found in Homo sapiens
UniProt:P61626	Q21114915	Lysozyme	1,4-beta-N-acetylmuramidase C|LYZ|lysozyme C|c-type lysozyme|lysozyme F1	mammalian protein found in Homo sapiens
UniProt:Q8WZA1	Q21133271	Protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	GnT I.2|POMGNT1|UDP-GlcNAc:alpha-D-mannoside beta-1,2-N-acetylglucosaminyltransferase I.2|protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1	mammalian protein found in Homo sapiens
