source	target	paths	pathways	diseases	source_orthologs	other_orthologs
NCBIGene:55768	NCBIGene:358	932	21	17	1	8
NCBIGene:55768	NCBIGene:11826	0	0	0	0	0
NCBIGene:55768	NCBIGene:4779	504	12	14	1	9
NCBIGene:55768	NCBIGene:64772	132	4	10	1	5
NCBIGene:55768	NCBIGene:360	196	4	11	1	4
NCBIGene:55768	NCBIGene:282679	228	3	16	1	7
NCBIGene:358	NCBIGene:55768	64	2	4	1	3
NCBIGene:358	NCBIGene:11826	0	0	0	0	0
NCBIGene:358	NCBIGene:4779	436	12	12	1	8
NCBIGene:358	NCBIGene:64772	40	2	5	1	4
NCBIGene:358	NCBIGene:360	672	11	21	1	7
NCBIGene:358	NCBIGene:282679	116	5	12	1	7
NCBIGene:11826	NCBIGene:55768	0	0	0	0	0
NCBIGene:11826	NCBIGene:358	0	0	0	0	0
NCBIGene:11826	NCBIGene:4779	0	0	0	0	0
NCBIGene:11826	NCBIGene:64772	0	0	0	0	0
NCBIGene:11826	NCBIGene:360	0	0	0	0	0
NCBIGene:11826	NCBIGene:282679	0	0	0	0	0
NCBIGene:4779	NCBIGene:55768	40	2	5	1	3
NCBIGene:4779	NCBIGene:358	1604	66	30	1	9
NCBIGene:4779	NCBIGene:11826	0	0	0	0	0
NCBIGene:4779	NCBIGene:64772	20	1	5	1	3
NCBIGene:4779	NCBIGene:360	408	10	25	1	7
NCBIGene:4779	NCBIGene:282679	164	5	20	1	6
NCBIGene:64772	NCBIGene:55768	92	6	1	1	3
NCBIGene:64772	NCBIGene:358	156	17	1	1	6
NCBIGene:64772	NCBIGene:11826	0	0	0	0	0
NCBIGene:64772	NCBIGene:4779	76	8	1	1	7
NCBIGene:64772	NCBIGene:360	36	4	1	1	4
NCBIGene:64772	NCBIGene:282679	40	3	1	1	7
NCBIGene:360	NCBIGene:55768	0	0	0	0	0
NCBIGene:360	NCBIGene:358	2864	64	18	1	8
NCBIGene:360	NCBIGene:11826	0	0	0	0	0
NCBIGene:360	NCBIGene:4779	224	9	7	1	5
NCBIGene:360	NCBIGene:64772	8	1	2	1	1
NCBIGene:360	NCBIGene:282679	68	5	8	1	4
NCBIGene:282679	NCBIGene:55768	88	2	5	1	4
NCBIGene:282679	NCBIGene:358	2236	67	15	1	9
NCBIGene:282679	NCBIGene:11826	0	0	0	0	0
NCBIGene:282679	NCBIGene:4779	564	12	12	1	8
NCBIGene:282679	NCBIGene:64772	56	2	6	1	6
NCBIGene:282679	NCBIGene:360	620	12	13	1	8
