source	target	paths	pathways	diseases	other_orthologs
OMIM:615273	CHEBI:506227	0	0	0	0
OMIM:615273	NCBIGene:55768	72	1	13	3
OMIM:615273	NCBIGene:358	2448	42	17	9
OMIM:615273	NCBIGene:11826	0	0	0	0
OMIM:615273	NCBIGene:4779	932	11	18	9
OMIM:615273	NCBIGene:64772	1852	2	38	4
OMIM:615273	NCBIGene:360	632	12	11	8
OMIM:615273	NCBIGene:282679	392	10	12	8
CHEBI:506227	OMIM:615273	0	0	0	0
CHEBI:506227	NCBIGene:55768	0	0	0	0
CHEBI:506227	NCBIGene:358	0	0	0	0
CHEBI:506227	NCBIGene:11826	0	0	0	0
CHEBI:506227	NCBIGene:4779	0	0	0	0
CHEBI:506227	NCBIGene:64772	0	0	0	0
CHEBI:506227	NCBIGene:360	0	0	0	0
CHEBI:506227	NCBIGene:282679	0	0	0	0
NCBIGene:55768	OMIM:615273	0	0	0	0
NCBIGene:55768	CHEBI:506227	0	0	0	0
NCBIGene:55768	NCBIGene:358	2448	42	17	9
NCBIGene:55768	NCBIGene:11826	0	0	0	0
NCBIGene:55768	NCBIGene:4779	932	11	18	9
NCBIGene:55768	NCBIGene:64772	28	1	6	3
NCBIGene:55768	NCBIGene:360	632	12	11	8
NCBIGene:55768	NCBIGene:282679	392	10	12	8
NCBIGene:358	OMIM:615273	0	0	0	0
NCBIGene:358	CHEBI:506227	0	0	0	0
NCBIGene:358	NCBIGene:55768	0	0	0	0
NCBIGene:358	NCBIGene:11826	0	0	0	0
NCBIGene:358	NCBIGene:4779	224	7	7	7
NCBIGene:358	NCBIGene:64772	0	0	0	0
NCBIGene:358	NCBIGene:360	240	14	7	5
NCBIGene:358	NCBIGene:282679	152	9	7	6
NCBIGene:11826	OMIM:615273	0	0	0	0
NCBIGene:11826	CHEBI:506227	0	0	0	0
NCBIGene:11826	NCBIGene:55768	0	0	0	0
NCBIGene:11826	NCBIGene:358	0	0	0	0
NCBIGene:11826	NCBIGene:4779	0	0	0	0
NCBIGene:11826	NCBIGene:64772	0	0	0	0
NCBIGene:11826	NCBIGene:360	0	0	0	0
NCBIGene:11826	NCBIGene:282679	0	0	0	0
NCBIGene:4779	OMIM:615273	0	0	0	0
NCBIGene:4779	CHEBI:506227	0	0	0	0
NCBIGene:4779	NCBIGene:55768	0	0	0	0
NCBIGene:4779	NCBIGene:358	0	0	0	0
NCBIGene:4779	NCBIGene:11826	0	0	0	0
NCBIGene:4779	NCBIGene:64772	0	0	0	0
NCBIGene:4779	NCBIGene:360	0	0	0	0
NCBIGene:4779	NCBIGene:282679	0	0	0	0
NCBIGene:64772	OMIM:615273	0	0	0	0
NCBIGene:64772	CHEBI:506227	0	0	0	0
NCBIGene:64772	NCBIGene:55768	0	0	0	0
NCBIGene:64772	NCBIGene:358	0	0	0	0
NCBIGene:64772	NCBIGene:11826	0	0	0	0
NCBIGene:64772	NCBIGene:4779	0	0	0	0
NCBIGene:64772	NCBIGene:360	0	0	0	0
NCBIGene:64772	NCBIGene:282679	0	0	0	0
NCBIGene:360	OMIM:615273	2	1	1	1
NCBIGene:360	CHEBI:506227	0	0	0	0
NCBIGene:360	NCBIGene:55768	4	1	1	1
NCBIGene:360	NCBIGene:358	536	14	5	2
NCBIGene:360	NCBIGene:11826	0	0	0	0
NCBIGene:360	NCBIGene:4779	252	9	5	2
NCBIGene:360	NCBIGene:64772	0	0	0	0
NCBIGene:360	NCBIGene:282679	60	4	4	1
NCBIGene:282679	OMIM:615273	0	0	0	0
NCBIGene:282679	CHEBI:506227	0	0	0	0
NCBIGene:282679	NCBIGene:55768	0	0	0	0
NCBIGene:282679	NCBIGene:358	0	0	0	0
NCBIGene:282679	NCBIGene:11826	0	0	0	0
NCBIGene:282679	NCBIGene:4779	0	0	0	0
NCBIGene:282679	NCBIGene:64772	0	0	0	0
NCBIGene:282679	NCBIGene:360	0	0	0	0
