source	target	number_of_paths	node_type	node_value	node_count
NCBIGene:55768	NCBIGene:358	1052	ortho	Aqp11::MGI:1913583	1040
NCBIGene:55768	NCBIGene:358	1052	ortho	Aqp2::MGI:1096865	304
NCBIGene:55768	NCBIGene:358	1052	ortho	Aqp3::MGI:1333777	160
NCBIGene:55768	NCBIGene:358	1052	ortho	Aqp1::MGI:103201	96
NCBIGene:55768	NCBIGene:358	1052	ortho	Cav1::MGI:102709	32
NCBIGene:55768	NCBIGene:358	1052	ortho	Aqp8::MGI:1195271	40
NCBIGene:55768	NCBIGene:358	1052	ortho	Aqp7::MGI:1314647	72
NCBIGene:55768	NCBIGene:358	1052	ortho	Aqp4::MGI:107387	152
NCBIGene:55768	NCBIGene:358	1052	ortho	Psmc1::MGI:106054	8
NCBIGene:55768	NCBIGene:358	1052	ortho	Egfr::MGI:95294	72
NCBIGene:55768	NCBIGene:358	1052	ortho	Avp::MGI:88121	72
NCBIGene:55768	NCBIGene:358	1052	ortho	Vcp::MGI:99919	8
NCBIGene:55768	NCBIGene:358	1052	ortho	NFE2L2::NCBIGene:4780	8
NCBIGene:55768	NCBIGene:358	1052	ortho	Nfe2l2::MGI:108420	16
NCBIGene:55768	NCBIGene:358	1052	pheno	premature death::MP:0002083	96
NCBIGene:55768	NCBIGene:358	1052	pheno	decreased urine osmolality::MP:0002988	324
NCBIGene:55768	NCBIGene:358	1052	pheno	Increased blood urea nitrogen::HP:0003138	136
NCBIGene:55768	NCBIGene:358	1052	pheno	postnatal lethality, complete penetrance::MP:0011085	136
NCBIGene:55768	NCBIGene:358	1052	pheno	homeostasis/metabolism phenotype::MP:0005376	144
NCBIGene:55768	NCBIGene:358	1052	pheno	decreased circulating glycerol level::MP:0003442	80
NCBIGene:55768	NCBIGene:358	1052	pheno	Hypotriglyceridemia::HP:0012153	40
NCBIGene:55768	NCBIGene:358	1052	pheno	Leukopenia::HP:0001882	16
NCBIGene:55768	NCBIGene:358	1052	pheno	Elevated serum creatinine::HP:0003259	56
NCBIGene:55768	NCBIGene:358	1052	pheno	abnormal hepatocyte morphology::MP:0000607	12
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:11826	0	NA	NA	0
NCBIGene:55768	NCBIGene:4779	852	ortho	Aqp11::MGI:1913583	1040
NCBIGene:55768	NCBIGene:4779	852	ortho	Aqp2::MGI:1096865	304
NCBIGene:55768	NCBIGene:4779	852	ortho	Aqp3::MGI:1333777	160
NCBIGene:55768	NCBIGene:4779	852	ortho	Aqp1::MGI:103201	96
NCBIGene:55768	NCBIGene:4779	852	ortho	Cav1::MGI:102709	32
NCBIGene:55768	NCBIGene:4779	852	ortho	Aqp8::MGI:1195271	40
NCBIGene:55768	NCBIGene:4779	852	ortho	Aqp7::MGI:1314647	72
NCBIGene:55768	NCBIGene:4779	852	ortho	Aqp4::MGI:107387	152
NCBIGene:55768	NCBIGene:4779	852	ortho	Psmc1::MGI:106054	8
NCBIGene:55768	NCBIGene:4779	852	ortho	Egfr::MGI:95294	72
NCBIGene:55768	NCBIGene:4779	852	ortho	Avp::MGI:88121	72
NCBIGene:55768	NCBIGene:4779	852	ortho	Vcp::MGI:99919	8
NCBIGene:55768	NCBIGene:4779	852	ortho	NFE2L2::NCBIGene:4780	8
NCBIGene:55768	NCBIGene:4779	852	ortho	Nfe2l2::MGI:108420	16
NCBIGene:55768	NCBIGene:4779	852	pheno	premature death::MP:0002083	96
NCBIGene:55768	NCBIGene:4779	852	pheno	decreased urine osmolality::MP:0002988	324
NCBIGene:55768	NCBIGene:4779	852	pheno	Increased blood urea nitrogen::HP:0003138	136
NCBIGene:55768	NCBIGene:4779	852	pheno	postnatal lethality, complete penetrance::MP:0011085	136
NCBIGene:55768	NCBIGene:4779	852	pheno	homeostasis/metabolism phenotype::MP:0005376	144
NCBIGene:55768	NCBIGene:4779	852	pheno	decreased circulating glycerol level::MP:0003442	80
NCBIGene:55768	NCBIGene:4779	852	pheno	Hypotriglyceridemia::HP:0012153	40
NCBIGene:55768	NCBIGene:4779	852	pheno	Leukopenia::HP:0001882	16
NCBIGene:55768	NCBIGene:4779	852	pheno	Elevated serum creatinine::HP:0003259	56
NCBIGene:55768	NCBIGene:4779	852	pheno	abnormal hepatocyte morphology::MP:0000607	12
NCBIGene:55768	NCBIGene:64772	72	ortho	Aqp11::MGI:1913583	1040
NCBIGene:55768	NCBIGene:64772	72	ortho	Aqp2::MGI:1096865	304
NCBIGene:55768	NCBIGene:64772	72	ortho	Aqp3::MGI:1333777	160
NCBIGene:55768	NCBIGene:64772	72	ortho	Aqp1::MGI:103201	96
NCBIGene:55768	NCBIGene:64772	72	ortho	Cav1::MGI:102709	32
NCBIGene:55768	NCBIGene:64772	72	ortho	Aqp8::MGI:1195271	40
NCBIGene:55768	NCBIGene:64772	72	ortho	Aqp7::MGI:1314647	72
NCBIGene:55768	NCBIGene:64772	72	ortho	Aqp4::MGI:107387	152
NCBIGene:55768	NCBIGene:64772	72	ortho	Psmc1::MGI:106054	8
NCBIGene:55768	NCBIGene:64772	72	ortho	Egfr::MGI:95294	72
NCBIGene:55768	NCBIGene:64772	72	ortho	Avp::MGI:88121	72
NCBIGene:55768	NCBIGene:64772	72	ortho	Vcp::MGI:99919	8
NCBIGene:55768	NCBIGene:64772	72	ortho	NFE2L2::NCBIGene:4780	8
NCBIGene:55768	NCBIGene:64772	72	ortho	Nfe2l2::MGI:108420	16
NCBIGene:55768	NCBIGene:64772	72	pheno	premature death::MP:0002083	96
