source	target	paths	pathways	diseases	other_orthologs
OMIM:615273	CHEBI:506227	0	0	0	0
OMIM:615273	NCBIGene:55768	0	0	0	0
OMIM:615273	NCBIGene:358	1720	29	12	8
OMIM:615273	NCBIGene:11826	0	0	0	0
OMIM:615273	NCBIGene:4779	580	6	11	8
OMIM:615273	NCBIGene:64772	1852	2	38	4
OMIM:615273	NCBIGene:360	192	3	6	3
OMIM:615273	NCBIGene:282679	88	4	12	7
CHEBI:506227	OMIM:615273	0	0	0	0
CHEBI:506227	NCBIGene:55768	0	0	0	0
CHEBI:506227	NCBIGene:358	0	0	0	0
CHEBI:506227	NCBIGene:11826	0	0	0	0
CHEBI:506227	NCBIGene:4779	0	0	0	0
CHEBI:506227	NCBIGene:64772	0	0	0	0
CHEBI:506227	NCBIGene:360	0	0	0	0
CHEBI:506227	NCBIGene:282679	0	0	0	0
NCBIGene:55768	OMIM:615273	0	0	0	0
NCBIGene:55768	CHEBI:506227	0	0	0	0
NCBIGene:55768	NCBIGene:358	1720	29	12	8
NCBIGene:55768	NCBIGene:11826	0	0	0	0
NCBIGene:55768	NCBIGene:4779	580	6	11	8
NCBIGene:55768	NCBIGene:64772	28	1	6	3
NCBIGene:55768	NCBIGene:360	192	3	6	3
NCBIGene:55768	NCBIGene:282679	88	4	12	7
NCBIGene:358	OMIM:615273	0	0	0	0
NCBIGene:358	CHEBI:506227	0	0	0	0
NCBIGene:358	NCBIGene:55768	0	0	0	0
NCBIGene:358	NCBIGene:11826	0	0	0	0
NCBIGene:358	NCBIGene:4779	72	2	1	2
NCBIGene:358	NCBIGene:64772	0	0	0	0
NCBIGene:358	NCBIGene:360	52	5	1	1
NCBIGene:358	NCBIGene:282679	36	3	6	5
NCBIGene:11826	OMIM:615273	0	0	0	0
NCBIGene:11826	CHEBI:506227	0	0	0	0
NCBIGene:11826	NCBIGene:55768	0	0	0	0
NCBIGene:11826	NCBIGene:358	0	0	0	0
NCBIGene:11826	NCBIGene:4779	0	0	0	0
NCBIGene:11826	NCBIGene:64772	0	0	0	0
NCBIGene:11826	NCBIGene:360	0	0	0	0
NCBIGene:11826	NCBIGene:282679	0	0	0	0
NCBIGene:4779	OMIM:615273	0	0	0	0
NCBIGene:4779	CHEBI:506227	0	0	0	0
NCBIGene:4779	NCBIGene:55768	0	0	0	0
NCBIGene:4779	NCBIGene:358	0	0	0	0
NCBIGene:4779	NCBIGene:11826	0	0	0	0
NCBIGene:4779	NCBIGene:64772	0	0	0	0
NCBIGene:4779	NCBIGene:360	0	0	0	0
NCBIGene:4779	NCBIGene:282679	0	0	0	0
NCBIGene:64772	OMIM:615273	0	0	0	0
NCBIGene:64772	CHEBI:506227	0	0	0	0
NCBIGene:64772	NCBIGene:55768	0	0	0	0
NCBIGene:64772	NCBIGene:358	0	0	0	0
NCBIGene:64772	NCBIGene:11826	0	0	0	0
NCBIGene:64772	NCBIGene:4779	0	0	0	0
NCBIGene:64772	NCBIGene:360	0	0	0	0
NCBIGene:64772	NCBIGene:282679	0	0	0	0
NCBIGene:360	OMIM:615273	0	0	0	0
NCBIGene:360	CHEBI:506227	0	0	0	0
NCBIGene:360	NCBIGene:55768	0	0	0	0
NCBIGene:360	NCBIGene:358	456	9	5	2
NCBIGene:360	NCBIGene:11826	0	0	0	0
NCBIGene:360	NCBIGene:4779	160	4	2	1
NCBIGene:360	NCBIGene:64772	0	0	0	0
NCBIGene:360	NCBIGene:282679	20	2	4	1
NCBIGene:282679	OMIM:615273	0	0	0	0
NCBIGene:282679	CHEBI:506227	0	0	0	0
NCBIGene:282679	NCBIGene:55768	0	0	0	0
NCBIGene:282679	NCBIGene:358	0	0	0	0
NCBIGene:282679	NCBIGene:11826	0	0	0	0
NCBIGene:282679	NCBIGene:4779	0	0	0	0
NCBIGene:282679	NCBIGene:64772	0	0	0	0
NCBIGene:282679	NCBIGene:360	0	0	0	0
