source	target	paths
NCBIGene:55768	NCBIGene:358	1852
NCBIGene:55768	NCBIGene:11826	0
NCBIGene:55768	NCBIGene:4779	1504
NCBIGene:55768	NCBIGene:64772	680
NCBIGene:55768	NCBIGene:360	1068
NCBIGene:55768	NCBIGene:282679	940
NCBIGene:358	NCBIGene:55768	416
NCBIGene:358	NCBIGene:11826	0
NCBIGene:358	NCBIGene:4779	1140
NCBIGene:358	NCBIGene:64772	328
NCBIGene:358	NCBIGene:360	2672
NCBIGene:358	NCBIGene:282679	1284
NCBIGene:11826	NCBIGene:55768	0
NCBIGene:11826	NCBIGene:358	0
NCBIGene:11826	NCBIGene:4779	0
NCBIGene:11826	NCBIGene:64772	0
NCBIGene:11826	NCBIGene:360	0
NCBIGene:11826	NCBIGene:282679	0
NCBIGene:4779	NCBIGene:55768	388
NCBIGene:4779	NCBIGene:358	2704
NCBIGene:4779	NCBIGene:11826	0
NCBIGene:4779	NCBIGene:64772	252
NCBIGene:4779	NCBIGene:360	1436
NCBIGene:4779	NCBIGene:282679	876
NCBIGene:64772	NCBIGene:55768	204
NCBIGene:64772	NCBIGene:358	360
NCBIGene:64772	NCBIGene:11826	0
NCBIGene:64772	NCBIGene:4779	224
NCBIGene:64772	NCBIGene:360	236
NCBIGene:64772	NCBIGene:282679	168
NCBIGene:360	NCBIGene:55768	20
NCBIGene:360	NCBIGene:358	4288
NCBIGene:360	NCBIGene:11826	0
NCBIGene:360	NCBIGene:4779	528
NCBIGene:360	NCBIGene:64772	12
NCBIGene:360	NCBIGene:282679	680
NCBIGene:282679	NCBIGene:55768	584
NCBIGene:282679	NCBIGene:358	4212
NCBIGene:282679	NCBIGene:11826	0
NCBIGene:282679	NCBIGene:4779	1292
NCBIGene:282679	NCBIGene:64772	452
NCBIGene:282679	NCBIGene:360	2256
