source	target	paths	pathways	diseases	source_orthologs	other_orthologs
NCBIGene:55768	NCBIGene:358	1052	19	15	1	9
NCBIGene:55768	NCBIGene:11826	0	0	0	0	0
NCBIGene:55768	NCBIGene:4779	852	16	14	1	9
NCBIGene:55768	NCBIGene:64772	72	2	8	1	4
NCBIGene:55768	NCBIGene:360	404	8	12	1	7
NCBIGene:55768	NCBIGene:282679	356	9	14	1	8
NCBIGene:358	NCBIGene:55768	16	2	2	1	1
NCBIGene:358	NCBIGene:11826	0	0	0	0	0
NCBIGene:358	NCBIGene:4779	380	14	12	1	8
NCBIGene:358	NCBIGene:64772	12	2	3	1	2
NCBIGene:358	NCBIGene:360	1588	20	19	1	9
NCBIGene:358	NCBIGene:282679	636	10	18	1	9
NCBIGene:11826	NCBIGene:55768	0	0	0	0	0
NCBIGene:11826	NCBIGene:358	0	0	0	0	0
NCBIGene:11826	NCBIGene:4779	0	0	0	0	0
NCBIGene:11826	NCBIGene:64772	0	0	0	0	0
NCBIGene:11826	NCBIGene:360	0	0	0	0	0
NCBIGene:11826	NCBIGene:282679	0	0	0	0	0
NCBIGene:4779	NCBIGene:55768	32	2	4	1	2
NCBIGene:4779	NCBIGene:358	1672	38	29	1	7
NCBIGene:4779	NCBIGene:11826	0	0	0	0	0
NCBIGene:4779	NCBIGene:64772	16	1	4	1	2
NCBIGene:4779	NCBIGene:360	604	18	24	1	6
NCBIGene:4779	NCBIGene:282679	320	10	19	1	6
NCBIGene:64772	NCBIGene:55768	0	0	0	0	0
NCBIGene:64772	NCBIGene:358	0	0	0	0	0
NCBIGene:64772	NCBIGene:11826	0	0	0	0	0
NCBIGene:64772	NCBIGene:4779	0	0	0	0	0
NCBIGene:64772	NCBIGene:360	0	0	0	0	0
NCBIGene:64772	NCBIGene:282679	0	0	0	0	0
NCBIGene:360	NCBIGene:55768	0	0	0	0	0
NCBIGene:360	NCBIGene:358	3952	75	18	1	8
NCBIGene:360	NCBIGene:11826	0	0	0	0	0
NCBIGene:360	NCBIGene:4779	348	13	9	1	6
NCBIGene:360	NCBIGene:64772	8	1	2	1	1
NCBIGene:360	NCBIGene:282679	460	10	15	1	7
NCBIGene:282679	NCBIGene:55768	40	2	3	1	3
NCBIGene:282679	NCBIGene:358	2116	77	12	1	9
NCBIGene:282679	NCBIGene:11826	0	0	0	0	0
NCBIGene:282679	NCBIGene:4779	476	15	9	1	6
NCBIGene:282679	NCBIGene:64772	24	2	3	1	4
NCBIGene:282679	NCBIGene:360	1040	21	10	1	8
