source	target	number_of_paths	edge_type	edge_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	in 1 to 1 orthology relationship with	2104
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	has phenotype	2104
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	involved in	1080
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	None	256
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	is part of	520
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	enables	240
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	Source	8
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	NA	0
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	656	in 1 to 1 orthology relationship with	1312
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	656	has phenotype	1312
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	656	enables	280
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	656	involved in	608
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	656	is part of	392
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	656	None	32
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	72	in 1 to 1 orthology relationship with	144
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	72	has phenotype	144
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	72	involved in	96
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	72	is part of	48
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	404	in 1 to 1 orthology relationship with	808
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	404	has phenotype	808
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	404	involved in	512
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	404	is part of	168
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	404	enables	48
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	404	None	72
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	404	Source	8
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	356	in 1 to 1 orthology relationship with	712
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	356	has phenotype	712
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	356	enables	56
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	356	involved in	232
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	356	is part of	424
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	16	in 1 to 1 orthology relationship with	32
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	16	has phenotype	32
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	16	Source	16
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	16	involved in	16
AQP1::NCBIGene:358	Aqp1::NCBIGene:11826	0	NA	0
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	264	in 1 to 1 orthology relationship with	528
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	264	has phenotype	528
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	264	enables	140
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	264	involved in	240
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	264	is part of	128
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	264	None	20
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	12	in 1 to 1 orthology relationship with	24
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	12	has phenotype	24
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	12	involved in	16
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	12	is part of	8
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1548	in 1 to 1 orthology relationship with	3096
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1548	has phenotype	3096
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1548	Source	436
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1548	involved in	1884
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1548	is part of	184
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1548	None	416
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1548	enables	176
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	616	in 1 to 1 orthology relationship with	1232
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	616	has phenotype	1232
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	616	enables	200
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	616	involved in	748
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	616	Source	92
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	616	is part of	184
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	616	None	8
Aqp1::NCBIGene:11826	NGLY1::NCBIGene:55768	0	NA	0
Aqp1::NCBIGene:11826	AQP1::NCBIGene:358	0	NA	0
Aqp1::NCBIGene:11826	NFE2L1::NCBIGene:4779	0	NA	0
Aqp1::NCBIGene:11826	ENGASE::NCBIGene:64772	0	NA	0
Aqp1::NCBIGene:11826	AQP3::NCBIGene:360	0	NA	0
Aqp1::NCBIGene:11826	AQP11::NCBIGene:282679	0	NA	0
