source	target	number_of_paths	node_type	node_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	GENE	1644
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	DISO	548
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	548	PHYS	548
NGLY1::NCBIGene:55768	Aqp1::NCBIGene:11826	0	NA	0
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	GENE	780
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	DISO	260
NGLY1::NCBIGene:55768	NFE2L1::NCBIGene:4779	260	PHYS	260
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	116	GENE	348
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	116	DISO	116
NGLY1::NCBIGene:55768	ENGASE::NCBIGene:64772	116	PHYS	116
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	284	GENE	852
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	284	DISO	284
NGLY1::NCBIGene:55768	AQP3::NCBIGene:360	284	PHYS	284
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	260	GENE	780
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	260	DISO	260
NGLY1::NCBIGene:55768	AQP11::NCBIGene:282679	260	PHYS	260
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	96	GENE	288
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	96	DISO	96
AQP1::NCBIGene:358	NGLY1::NCBIGene:55768	96	PHYS	96
AQP1::NCBIGene:358	Aqp1::NCBIGene:11826	0	NA	0
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	292	GENE	876
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	292	DISO	292
AQP1::NCBIGene:358	NFE2L1::NCBIGene:4779	292	PHYS	292
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	76	GENE	228
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	76	DISO	76
AQP1::NCBIGene:358	ENGASE::NCBIGene:64772	76	PHYS	76
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1308	GENE	3924
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1308	DISO	1308
AQP1::NCBIGene:358	AQP3::NCBIGene:360	1308	PHYS	1308
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	668	GENE	2004
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	668	DISO	668
AQP1::NCBIGene:358	AQP11::NCBIGene:282679	668	PHYS	668
Aqp1::NCBIGene:11826	NGLY1::NCBIGene:55768	0	NA	0
Aqp1::NCBIGene:11826	AQP1::NCBIGene:358	0	NA	0
Aqp1::NCBIGene:11826	NFE2L1::NCBIGene:4779	0	NA	0
Aqp1::NCBIGene:11826	ENGASE::NCBIGene:64772	0	NA	0
Aqp1::NCBIGene:11826	AQP3::NCBIGene:360	0	NA	0
Aqp1::NCBIGene:11826	AQP11::NCBIGene:282679	0	NA	0
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	260	GENE	780
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	260	DISO	260
NFE2L1::NCBIGene:4779	NGLY1::NCBIGene:55768	260	PHYS	260
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1724	GENE	5172
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1724	DISO	1724
NFE2L1::NCBIGene:4779	AQP1::NCBIGene:358	1724	PHYS	1724
NFE2L1::NCBIGene:4779	Aqp1::NCBIGene:11826	0	NA	0
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	164	GENE	492
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	164	DISO	164
NFE2L1::NCBIGene:4779	ENGASE::NCBIGene:64772	164	PHYS	164
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	972	GENE	2916
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	972	DISO	972
NFE2L1::NCBIGene:4779	AQP3::NCBIGene:360	972	PHYS	972
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	656	GENE	1968
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	656	DISO	656
NFE2L1::NCBIGene:4779	AQP11::NCBIGene:282679	656	PHYS	656
ENGASE::NCBIGene:64772	NGLY1::NCBIGene:55768	0	NA	0
ENGASE::NCBIGene:64772	AQP1::NCBIGene:358	0	NA	0
ENGASE::NCBIGene:64772	Aqp1::NCBIGene:11826	0	NA	0
ENGASE::NCBIGene:64772	NFE2L1::NCBIGene:4779	0	NA	0
ENGASE::NCBIGene:64772	AQP3::NCBIGene:360	0	NA	0
ENGASE::NCBIGene:64772	AQP11::NCBIGene:282679	0	NA	0
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	16	GENE	48
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	16	DISO	16
AQP3::NCBIGene:360	NGLY1::NCBIGene:55768	16	PHYS	16
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3536	GENE	10608
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3536	DISO	3536
AQP3::NCBIGene:360	AQP1::NCBIGene:358	3536	PHYS	3536
AQP3::NCBIGene:360	Aqp1::NCBIGene:11826	0	NA	0
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	276	GENE	828
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	276	DISO	276
AQP3::NCBIGene:360	NFE2L1::NCBIGene:4779	276	PHYS	276
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	12	GENE	36
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	12	DISO	12
AQP3::NCBIGene:360	ENGASE::NCBIGene:64772	12	PHYS	12
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	536	GENE	1608
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	536	DISO	536
AQP3::NCBIGene:360	AQP11::NCBIGene:282679	536	PHYS	536
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	52	GENE	156
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	52	DISO	52
AQP11::NCBIGene:282679	NGLY1::NCBIGene:55768	52	PHYS	52
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	924	GENE	2772
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	924	DISO	924
AQP11::NCBIGene:282679	AQP1::NCBIGene:358	924	PHYS	924
AQP11::NCBIGene:282679	Aqp1::NCBIGene:11826	0	NA	0
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	196	GENE	588
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	196	DISO	196
AQP11::NCBIGene:282679	NFE2L1::NCBIGene:4779	196	PHYS	196
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	32	GENE	96
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	32	DISO	32
AQP11::NCBIGene:282679	ENGASE::NCBIGene:64772	32	PHYS	32
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	600	GENE	1800
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	600	DISO	600
AQP11::NCBIGene:282679	AQP3::NCBIGene:360	600	PHYS	600
