source	target	number_of_paths	node_type	node_value	node_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Pngl::FlyBase:FBgn0033050	1036
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Egfr::FlyBase:FBgn0003731	540
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Egfr::MGI:95294	252
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	EGFR::NCBIGene:1956	180
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Hcf::FlyBase:FBgn0039904	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Hcfc1::MGI:105942	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	TER94::FlyBase:FBgn0261014	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Vcp::MGI:99919	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Egfr::RGD:2543	108
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	sgg::FlyBase:FBgn0003371	168
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Gsk3b::MGI:1861437	96
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	bchs::FlyBase:FBgn0043362	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	WDFY3::NCBIGene:23001	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	GSK3B::NCBIGene:2932	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	beta4GalNAcTA::FlyBase:FBgn0027538	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	B4GALT1::NCBIGene:2683	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Gsk3b::RGD:70982	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Jra::FlyBase:FBgn0001291	112
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Jun::MGI:96646	56
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	VCP::NCBIGene:7415	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	RpS27A::FlyBase:FBgn0003942	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	RPS27A::NCBIGene:6233	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	AQP::FlyBase:FBgn0033807	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	AQP12A::NCBIGene:375318	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	HCFC1::NCBIGene:3054	24
