gene_id	protein_id
NCBIGene:358	UniProt:P29972
NCBIGene:343	UniProt:O94778
NCBIGene:359	UniProt:P41181
NCBIGene:361	UniProt:P55087
NCBIGene:362	UniProt:P55064
NCBIGene:363	UniProt:Q13520
NCBIGene:4284	UniProt:P30301
