source	target	number_of_paths	node_type	node_value	node_count
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Pngl::FlyBase:FBgn0033050	1036
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Egfr::FlyBase:FBgn0003731	540
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Egfr::MGI:95294	252
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Jra::FlyBase:FBgn0001291	112
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Jun::MGI:96646	56
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	JUN::NCBIGene:3725	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Jun::RGD:2943	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Hcf::FlyBase:FBgn0039904	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Hcfc1::MGI:105942	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	EGFR::NCBIGene:1956	180
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Egfr::RGD:2543	108
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	sgg::FlyBase:FBgn0003371	168
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Gsk3b::MGI:1861437	96
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	TER94::FlyBase:FBgn0261014	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	VCP::NCBIGene:7415	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	AQP::FlyBase:FBgn0033807	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	AQP12A::NCBIGene:375318	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Gsk3b::RGD:70982	48
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	RpS27A::FlyBase:FBgn0003942	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	RPS27A::NCBIGene:6233	32
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	HCFC1::NCBIGene:3054	24
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	bchs::FlyBase:FBgn0043362	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	WDFY3::NCBIGene:23001	8
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Ngly1::MGI:1913276	16
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	Traf2::MGI:101835	12
NGLY1::NCBIGene:55768	AQP1::NCBIGene:358	1052	GENE	TRAF2::NCBIGene:7186	8
